Day,Gym,Focus,Notes / Exercises
1,0,Full-Body Yoga + Stretch,40-min yoga + 60-min stretch
2,1,Chest + Triceps + additional yoga,"Flat press 35x8,  30x10,  25x6,  25x7;  Incline DB 10s;  Cable fly 5/side;  Pushdown 20x10"
3,1,Legs + Core + additional yoga,"Leg press 70, 90 lb;  Goblet 20 lb;  Curls;  Bridges;  Core"
4,1,Back + Biceps,Lat pulldown 30 lb;  Bent-over row 30 lb 8 reps
5,0,Active Recovery,Yoga / walk
6,1,Glutes + Core,Hip thrust 40 lb;  DB RDL 15;  Bulgarian 10lb->5;  Abduction 60 lb;  Donkey kicks;  Plank
7,1,Chest + Triceps (repeat),Similar loads to Day 2;  fatigue noted
8,0,Skipped,No meaningful session
9,1,Legs + Core (Hard),Leg press 70x20x3;  Sumo 20x15x3;  RDL 15x3;  Goblet 20x3;  Hip thrust 35x3;  Abduction 60x3;  Donkey 3x15;  Leg ex;  Calf 20x3;  Russian twist 10 lb;  Leg raise 3x12+extra 10
10,0,Recovery,Pizza day
11,0,Rest,Skipped gym
12,1,Back + Biceps,Pulldown 50 lb;  Row 40 lb;  Barbell 30 lb;  Reverse fly 10->5 lb;  Curls 10s;  Hammer 10s;  Concentration 10->5;  EZ-bar 25 lb;  Pulldown finisher 40- 55 lb;  Shoulder press light
13,0,Rest,Overslept
14,1,Legs + Core,Press 70x16x2;  90x16;  110x16;  Abduction 60x3x15;  Donkey 3x15;  Hip thrust 35x3x16;  Russian twist 10 lb;  Leg raise 3x12;  RDL 15x3;  Calf 20x3;  Sumo 20x3
15,0,Full-Body Yoga,Yoga (burn-fat) session
16,1,Chest + Triceps,Flat barbell 25 lb;  Incline DB 10 lb;  Pec fly 10 lb;  Pushdown 17.5 lb
17,1,Pull A (Back + Biceps + Rear Delts) + yoga,Pulldown 55x15x4;  Row 40x15x3;  Barbell 30x14;  Reverse fly ;  Curls 10s;  Hammer 10s;  Concentration 10->5;  Superman 3x30s;  Seated row finisher 40x15x3
18,1,Legs (Glute + Ham Focus),Hip thrust 39.5x3x15;  DB RDL 15x3;  Bulgarian 10x3x10;  Leg curl 30x3x12;  Abduction 60x3x15;  Donkey 3x15;  Leg press 90x20; 110x15x2;  Calf 20x3;  Reverse crunch 3x12
19,1,Push B (Chest + Triceps + Shoulders) + indoor cycle 11 min ,OH DB ext 10x16x3;  Kickback 10;  DB front raise 10;  Flat barbell ;  Incline DB 10;  DB lateral 5lbs;  Cable fly 10/side;  Pushdown 20 lb;  DB fly 10s;  Plank 3x30s
20,0,Recovery,
21,1,Pull B (Back + Biceps),Pulldown 55x15x4;  Row 40x15x3;  Barbell 30x15;  Reverse fly 5;  Curls 10s;  Hammer 10s;  Concentration 5;  Superman 2x30s
,,,
,,,
,,,
,13,,
